name,threads,n,run,duration
mpi-pi++,4,8,4,0.0145557
cpp11-pi,4,8,5,0.004276
openMP-pi,4,8,5,0.011093
mpi-pi,4,8,5,0.02457603
mpi-pi++,4,8,5,0.0243618
cpp11-pi,4,8,6,0.004578
openMP-pi,4,8,6,0.00799
mpi-pi,4,8,6,0.01446427
mpi-pi++,4,8,6,0.0154468
cpp11-pi,4,8,7,0.004393
openMP-pi,4,8,7,0.013436
mpi-pi,4,8,7,0.02442796
mpi-pi++,4,8,7,0.024338
cpp11-pi,4,8,8,0.004479
openMP-pi,4,8,8,0.005907
mpi-pi,4,8,8,0.02431989
mpi-pi++,4,8,8,0.0244643
cpp11-pi,4,8,9,0.00427
openMP-pi,4,8,9,0.00659
mpi-pi,4,8,9,0.02485875
mpi-pi++,4,8,9,0.0145113
cpp11-pi,4,8,10,0.004375
openMP-pi,4,8,10,0.009716
mpi-pi,4,8,10,0.01476284
mpi-pi++,4,8,10,0.0245478
cpp11-pi,8,8,1,0.006732
openMP-pi,8,8,1,0.010021
mpi-pi,8,8,1,0.03218940
mpi-pi++,8,8,1,0.0322418
cpp11-pi,8,8,2,0.002327
openMP-pi,8,8,2,0.003144
mpi-pi,8,8,2,0.03240955
mpi-pi++,8,8,2,0.0325105
cpp11-pi,8,8,3,0.00244
openMP-pi,8,8,3,0.003207
mpi-pi,8,8,3,0.03225493
mpi-pi++,8,8,3,0.0321597
cpp11-pi,8,8,4,0.00229
openMP-pi,8,8,4,0.003224
mpi-pi,8,8,4,0.03254691
mpi-pi++,8,8,4,0.0325828
cpp11-pi,8,8,5,0.002296
openMP-pi,8,8,5,0.003186
mpi-pi,8,8,5,0.03221263
mpi-pi++,8,8,5,0.0322681
cpp11-pi,8,8,6,0.002248
openMP-pi,8,8,6,0.003033
mpi-pi,8,8,6,0.03224666
mpi-pi++,8,8,6,0.0326366
cpp11-pi,8,8,7,0.002317
openMP-pi,8,8,7,0.003165
mpi-pi,8,8,7,0.03218735
mpi-pi++,8,8,7,0.0329547
cpp11-pi,8,8,8,0.002333
openMP-pi,8,8,8,0.003116
mpi-pi,8,8,8,0.03210692
mpi-pi++,8,8,8,0.0330939
cpp11-pi,8,8,9,0.002255
openMP-pi,8,8,9,0.003201
mpi-pi,8,8,9,0.03212616
mpi-pi++,8,8,9,0.0326072
cpp11-pi,8,8,10,0.006804
openMP-pi,8,8,10,0.014576
mpi-pi,8,8,10,0.03263109
mpi-pi++,8,8,10,0.0322339
cpp11-pi,1,16,1,0.032985
openMP-pi,1,16,1,0.035749
mpi-pi,1,16,1,0.03218601
mpi-pi++,1,16,1,0.0323741
cpp11-pi,1,16,2,0.044525
openMP-pi,1,16,2,0.033588
mpi-pi,1,16,2,0.03184563
mpi-pi++,1,16,2,0.031868
cpp11-pi,1,16,3,0.044943
openMP-pi,1,16,3,0.033168
mpi-pi,1,16,3,0.03204318
mpi-pi++,1,16,3,0.0320812
cpp11-pi,1,16,4,0.039843
openMP-pi,1,16,4,0.039442
mpi-pi,1,16,4,0.03234737
mpi-pi++,1,16,4,0.0329452
cpp11-pi,1,16,5,0.0368
openMP-pi,1,16,5,0.033373
mpi-pi,1,16,5,0.03188500
mpi-pi++,1,16,5,0.0318596
cpp11-pi,1,16,6,0.036448
openMP-pi,1,16,6,0.033614
mpi-pi,1,16,6,0.03201916
mpi-pi++,1,16,6,0.0321807
cpp11-pi,1,16,7,0.035392
openMP-pi,1,16,7,0.03312
mpi-pi,1,16,7,0.03161407
mpi-pi++,1,16,7,0.0345061
cpp11-pi,1,16,8,0.038661
openMP-pi,1,16,8,0.03353
mpi-pi,1,16,8,0.03279774
mpi-pi++,1,16,8,0.0319219
cpp11-pi,1,16,9,0.046006
openMP-pi,1,16,9,0.033464
mpi-pi,1,16,9,0.03260790
mpi-pi++,1,16,9,0.0321241
cpp11-pi,1,16,10,0.041655
openMP-pi,1,16,10,0.033384
mpi-pi,1,16,10,0.03174825
mpi-pi++,1,16,10,0.0316864
cpp11-pi,2,16,1,0.02916
openMP-pi,2,16,1,0.018421
mpi-pi,2,16,1,0.02671558
mpi-pi++,2,16,1,0.0263014
cpp11-pi,2,16,2,0.02224
openMP-pi,2,16,2,0.017812
mpi-pi,2,16,2,0.02731091
mpi-pi++,2,16,2,0.0263191
cpp11-pi,2,16,3,0.028988
openMP-pi,2,16,3,0.01839
mpi-pi,2,16,3,0.02674314
mpi-pi++,2,16,3,0.0264283
cpp11-pi,2,16,4,0.025734
openMP-pi,2,16,4,0.019709
mpi-pi,2,16,4,0.02645981
mpi-pi++,2,16,4,0.0262408
cpp11-pi,2,16,5,0.016646
openMP-pi,2,16,5,0.018843
mpi-pi,2,16,5,0.01631274
mpi-pi++,2,16,5,0.0265905
cpp11-pi,2,16,6,0.019658
openMP-pi,2,16,6,0.017595
mpi-pi,2,16,6,0.02652996
mpi-pi++,2,16,6,0.0264727
cpp11-pi,2,16,7,0.022995
openMP-pi,2,16,7,0.018476
mpi-pi,2,16,7,0.02656649
mpi-pi++,2,16,7,0.0160592
cpp11-pi,2,16,8,0.021022
openMP-pi,2,16,8,0.017804
mpi-pi,2,16,8,0.02661332
mpi-pi++,2,16,8,0.0265768
cpp11-pi,2,16,9,0.020053
openMP-pi,2,16,9,0.018519
mpi-pi,2,16,9,0.02657759
mpi-pi++,2,16,9,0.0269903
cpp11-pi,2,16,10,0.021064
openMP-pi,2,16,10,0.01796
mpi-pi,2,16,10,0.02664559
mpi-pi++,2,16,10,0.0161243
cpp11-pi,4,16,1,0.011801
openMP-pi,4,16,1,0.011551
mpi-pi,4,16,1,0.02853612
mpi-pi++,4,16,1,0.0187749
cpp11-pi,4,16,2,0.008522
openMP-pi,4,16,2,0.010846
mpi-pi,4,16,2,0.02905922
mpi-pi++,4,16,2,0.0286965
cpp11-pi,4,16,3,0.008424
openMP-pi,4,16,3,0.010088
mpi-pi,4,16,3,0.02831402
mpi-pi++,4,16,3,0.0205768
cpp11-pi,4,16,4,0.008492
openMP-pi,4,16,4,0.010777
