name,threads,n,duration
openMP-pi,32,2048,0.190752
mpi-pi,32,2048,0.20327776
mpi-pi++,32,2048,0.216004
cpp11-pi,32,4096,0.361703
openMP-pi,32,4096,0.349775
mpi-pi,32,4096,0.39322589
mpi-pi++,32,4096,0.368002
cpp11-pi,32,8192,0.744003
openMP-pi,32,8192,0.709882
mpi-pi,32,8192,0.79769425
mpi-pi++,32,8192,0.692547
cpp11-pi,32,16384,1.42002
openMP-pi,32,16384,1.39059
mpi-pi,32,16384,1.71014681
mpi-pi++,32,16384,1.37169
cpp11-pi,32,1,0.002076
openMP-pi,32,1,0.002213
mpi-pi,32,1,0.00052663
mpi-pi++,32,1,0.000420372
cpp11-pi,32,2,0.00208
openMP-pi,32,2,0.001331
mpi-pi,32,2,0.00051174
mpi-pi++,32,2,0.000487136
cpp11-pi,32,4,0.00197
openMP-pi,32,4,0.001767
mpi-pi,32,4,0.00079755
mpi-pi++,32,4,0.000854731
cpp11-pi,32,8,0.002265
openMP-pi,32,8,0.002832
mpi-pi,32,8,0.00152403
mpi-pi++,32,8,0.00136278
cpp11-pi,32,16,0.004332
openMP-pi,32,16,0.003712
mpi-pi,32,16,0.00273503
mpi-pi++,32,16,0.00207085
cpp11-pi,32,32,0.005528
openMP-pi,32,32,0.005959
mpi-pi,32,32,0.00484873
mpi-pi++,32,32,0.00546814
cpp11-pi,32,64,0.008663
openMP-pi,32,64,0.008938
mpi-pi,32,64,0.00933924
mpi-pi++,32,64,0.00931811
cpp11-pi,32,128,0.015225
openMP-pi,32,128,0.015682
mpi-pi,32,128,0.01613982
mpi-pi++,32,128,0.0170603
cpp11-pi,32,256,0.028047
openMP-pi,32,256,0.027998
mpi-pi,32,256,0.02968892
mpi-pi++,32,256,0.0260055
cpp11-pi,32,512,0.05327
openMP-pi,32,512,0.053262
mpi-pi,32,512,0.04813236
mpi-pi++,32,512,0.0677942
cpp11-pi,32,1024,0.105506
openMP-pi,32,1024,0.105023
mpi-pi,32,1024,0.10814269
mpi-pi++,32,1024,0.116039
cpp11-pi,32,2048,0.204494
openMP-pi,32,2048,0.180721
mpi-pi,32,2048,0.17541823
mpi-pi++,32,2048,0.211856
cpp11-pi,32,4096,0.343488
openMP-pi,32,4096,0.34472
mpi-pi,32,4096,0.31703778
mpi-pi++,32,4096,0.341338
cpp11-pi,32,8192,0.681743
openMP-pi,32,8192,0.686439
mpi-pi,32,8192,0.63067146
mpi-pi++,32,8192,0.680028
cpp11-pi,32,16384,1.36114
openMP-pi,32,16384,1.36885
mpi-pi,32,16384,1.26246917
mpi-pi++,32,16384,1.37059
cpp11-pi,32,1,0.001942
openMP-pi,32,1,0.002259
mpi-pi,32,1,0.00052504
mpi-pi++,32,1,0.000416284
cpp11-pi,32,2,0.001773
openMP-pi,32,2,0.001383
mpi-pi,32,2,0.00048757
mpi-pi++,32,2,0.000530369
cpp11-pi,32,4,0.001505
openMP-pi,32,4,0.001856
mpi-pi,32,4,0.00093808
mpi-pi++,32,4,0.00110531
cpp11-pi,32,8,0.002383
openMP-pi,32,8,0.002753
mpi-pi,32,8,0.00150202
mpi-pi++,32,8,0.00127186
cpp11-pi,32,16,0.003913
openMP-pi,32,16,0.003766
mpi-pi,32,16,0.00328401
mpi-pi++,32,16,0.00309627
cpp11-pi,32,32,0.005604
openMP-pi,32,32,0.0062
mpi-pi,32,32,0.00463820
mpi-pi++,32,32,0.00343897
cpp11-pi,32,64,0.010171
openMP-pi,32,64,0.009211
mpi-pi,32,64,0.00775813
mpi-pi++,32,64,0.00899521
cpp11-pi,32,128,0.015511
openMP-pi,32,128,0.015169
mpi-pi,32,128,0.01377280
mpi-pi++,32,128,0.0133263
cpp11-pi,32,256,0.027553
openMP-pi,32,256,0.027878
mpi-pi,32,256,0.02540756
mpi-pi++,32,256,0.0292758
cpp11-pi,32,512,0.053605
openMP-pi,32,512,0.053629
mpi-pi,32,512,0.06228605
mpi-pi++,32,512,0.0515761
cpp11-pi,32,1024,0.103839
openMP-pi,32,1024,0.104627
mpi-pi,32,1024,0.11597501
mpi-pi++,32,1024,0.116017
cpp11-pi,32,2048,0.205119
openMP-pi,32,2048,0.18088
mpi-pi,32,2048,0.16898344
mpi-pi++,32,2048,0.176855
cpp11-pi,32,4096,0.342718
openMP-pi,32,4096,0.344796
mpi-pi,32,4096,0.34246123
mpi-pi++,32,4096,0.341285
cpp11-pi,32,8192,0.681914
openMP-pi,32,8192,0.686112
mpi-pi,32,8192,0.63835017
mpi-pi++,32,8192,0.708974
cpp11-pi,32,16384,1.36146
openMP-pi,32,16384,1.3689
mpi-pi,32,16384,1.26246833
mpi-pi++,32,16384,1.36834
cpp11-pi,64,1,0.003245
openMP-pi,64,1,0.011941
mpi-pi,64,1,0.00107446
mpi-pi++,64,1,0.00084823
cpp11-pi,64,2,0.003262
openMP-pi,64,2,0.002356
mpi-pi,64,2,0.00078632
mpi-pi++,64,2,0.0016297
cpp11-pi,64,4,0.002981
openMP-pi,64,4,0.011428
mpi-pi,64,4,0.00129992
mpi-pi++,64,4,0.00150897
cpp11-pi,64,8,0.004059
openMP-pi,64,8,0.011014
mpi-pi,64,8,0.00172053
mpi-pi++,64,8,0.0023329
cpp11-pi,64,16,0.00414
openMP-pi,64,16,0.008686
mpi-pi,64,16,0.00371760
mpi-pi++,64,16,0.00293477
cpp11-pi,64,32,0.004425
openMP-pi,64,32,0.007211
mpi-pi,64,32,0.00333902
mpi-pi++,64,32,0.0049383
cpp11-pi,64,64,0.006815
openMP-pi,64,64,0.007241
mpi-pi,64,64,0.00638201
mpi-pi++,64,64,0.00676724
cpp11-pi,64,128,0.009852
openMP-pi,64,128,0.012225
mpi-pi,64,128,0.01040048
mpi-pi++,64,128,0.00978028
cpp11-pi,64,256,0.017702
openMP-pi,64,256,0.018711
mpi-pi,64,256,0.01620058
mpi-pi++,64,256,0.0175309
cpp11-pi,64,512,0.029602
openMP-pi,64,512,0.029539
mpi-pi,64,512,0.03137325
mpi-pi++,64,512,0.0325857
cpp11-pi,64,1024,0.060524
openMP-pi,64,1024,0.071637
mpi-pi,64,1024,0.06126206
mpi-pi++,64,1024,0.0676357
cpp11-pi,64,2048,0.115132
openMP-pi,64,2048,0.126528
mpi-pi,64,2048,0.12711667
mpi-pi++,64,2048,0.138948
cpp11-pi,64,4096,0.207268
openMP-pi,64,4096,0.208343
mpi-pi,64,4096,0.20981963
mpi-pi++,64,4096,0.247895
cpp11-pi,64,8192,0.368563
openMP-pi,64,8192,0.372515
mpi-pi,64,8192,0.38819452
mpi-pi++,64,8192,0.436497
cpp11-pi,64,16384,0.745496
openMP-pi,64,16384,0.750901
mpi-pi,64,16384,0.76882791
mpi-pi++,64,16384,0.968748
cpp11-pi,64,1,0.003466
openMP-pi,64,1,0.014243
mpi-pi,64,1,0.00048122
mpi-pi++,64,1,0.00118377
cpp11-pi,64,2,0.003237
openMP-pi,64,2,0.00592
mpi-pi,64,2,0.00140335
mpi-pi++,64,2,0.0014631
cpp11-pi,64,4,0.003005
openMP-pi,64,4,0.009321
mpi-pi,64,4,0.00173720
mpi-pi++,64,4,0.001378
cpp11-pi,64,8,0.003102
openMP-pi,64,8,0.008951
mpi-pi,64,8,0.00167867
mpi-pi++,64,8,0.00240717
cpp11-pi,64,16,0.003758
openMP-pi,64,16,0.006854
mpi-pi,64,16,0.00261392
mpi-pi++,64,16,0.00317895
cpp11-pi,64,32,0.00471
openMP-pi,64,32,0.015782
mpi-pi,64,32,0.00414883
mpi-pi++,64,32,0.00461291
cpp11-pi,64,64,0.007575
openMP-pi,64,64,0.013474
mpi-pi,64,64,0.00672662
mpi-pi++,64,64,0.0078489
cpp11-pi,64,128,0.012895
