name,threads,n,run,duration
cpp11-pi,8,4,6,0.000772
openMP-pi,8,4,6,0.001493
mpi-pi,8,4,6,0.03062961
mpi-pi++,8,4,6,0.030998
cpp11-pi,8,4,7,0.001024
openMP-pi,8,4,7,0.003619
mpi-pi,8,4,7,0.03116380
mpi-pi++,8,4,7,0.0305905
cpp11-pi,8,4,8,0.00102
openMP-pi,8,4,8,0.006754
mpi-pi,8,4,8,0.03081533
mpi-pi++,8,4,8,0.030619
cpp11-pi,8,4,9,0.000795
openMP-pi,8,4,9,0.004167
mpi-pi,8,4,9,0.03091310
mpi-pi++,8,4,9,0.0309729
cpp11-pi,8,4,10,0.000803
openMP-pi,8,4,10,0.003665
mpi-pi,8,4,10,0.03065357
mpi-pi++,8,4,10,0.0307032
cpp11-pi,1,8,1,0.007591
openMP-pi,1,8,1,0.014306
mpi-pi,1,8,1,0.00735448
mpi-pi++,1,8,1,0.00857227
cpp11-pi,1,8,2,0.007508
openMP-pi,1,8,2,0.01294
mpi-pi,1,8,2,0.00802927
mpi-pi++,1,8,2,0.00742797
cpp11-pi,1,8,3,0.007486
openMP-pi,1,8,3,0.008414
mpi-pi,1,8,3,0.00729943
mpi-pi++,1,8,3,0.00733809
cpp11-pi,1,8,4,0.00743
openMP-pi,1,8,4,0.010104
mpi-pi,1,8,4,0.00799345
mpi-pi++,1,8,4,0.00813473
cpp11-pi,1,8,5,0.008631
openMP-pi,1,8,5,0.022588
mpi-pi,1,8,5,0.00739052
mpi-pi++,1,8,5,0.00746662
cpp11-pi,1,8,6,0.007598
openMP-pi,1,8,6,0.010895
mpi-pi,1,8,6,0.00750629
mpi-pi++,1,8,6,0.00715136
cpp11-pi,1,8,7,0.00743
openMP-pi,1,8,7,0.016247
mpi-pi,1,8,7,0.00737755
mpi-pi++,1,8,7,0.00753276
cpp11-pi,1,8,8,0.00771
openMP-pi,1,8,8,0.014099
mpi-pi,1,8,8,0.00791502
mpi-pi++,1,8,8,0.00724765
cpp11-pi,1,8,9,0.0077
openMP-pi,1,8,9,0.010769
mpi-pi,1,8,9,0.00843342
mpi-pi++,1,8,9,0.0113226
cpp11-pi,1,8,10,0.007372
openMP-pi,1,8,10,0.008907
mpi-pi,1,8,10,0.00742530
mpi-pi++,1,8,10,0.00737683
cpp11-pi,2,8,1,0.004097
openMP-pi,2,8,1,0.005374
mpi-pi,2,8,1,0.00381527
mpi-pi++,2,8,1,0.0149429
cpp11-pi,2,8,2,0.003722
openMP-pi,2,8,2,0.008467
mpi-pi,2,8,2,0.01388875
mpi-pi++,2,8,2,0.013661
cpp11-pi,2,8,3,0.003875
openMP-pi,2,8,3,0.004722
mpi-pi,2,8,3,0.00365099
mpi-pi++,2,8,3,0.0139184
cpp11-pi,2,8,4,0.003862
openMP-pi,2,8,4,0.018434
mpi-pi,2,8,4,0.01384103
mpi-pi++,2,8,4,0.0138489
cpp11-pi,2,8,5,0.003875
openMP-pi,2,8,5,0.004939
mpi-pi,2,8,5,0.01379960
mpi-pi++,2,8,5,0.0136811
cpp11-pi,2,8,6,0.004129
openMP-pi,2,8,6,0.009438
mpi-pi,2,8,6,0.01381970
mpi-pi++,2,8,6,0.0138007
cpp11-pi,2,8,7,0.003721
openMP-pi,2,8,7,0.0063
mpi-pi,2,8,7,0.01383015
mpi-pi++,2,8,7,0.0142618
cpp11-pi,2,8,8,0.003876
openMP-pi,2,8,8,0.005516
mpi-pi,2,8,8,0.01412087
mpi-pi++,2,8,8,0.00388583
cpp11-pi,2,8,9,0.004009
openMP-pi,2,8,9,0.014603
mpi-pi,2,8,9,0.01388456
mpi-pi++,2,8,9,0.0138522
cpp11-pi,2,8,10,0.003837
openMP-pi,2,8,10,0.008374
mpi-pi,2,8,10,0.01373118
mpi-pi++,2,8,10,0.0136889
cpp11-pi,4,8,1,0.002084
openMP-pi,4,8,1,0.019238
mpi-pi,4,8,1,0.01212686
mpi-pi++,4,8,1,0.0220717
cpp11-pi,4,8,2,0.002198
openMP-pi,4,8,2,0.012561
mpi-pi,4,8,2,0.02270686
mpi-pi++,4,8,2,0.0219297
cpp11-pi,4,8,3,0.002153
openMP-pi,4,8,3,0.003432
mpi-pi,4,8,3,0.02211876
mpi-pi++,4,8,3,0.0219643
cpp11-pi,4,8,4,0.002639
openMP-pi,4,8,4,0.002842
mpi-pi,4,8,4,0.01394648
mpi-pi++,4,8,4,0.0219177
cpp11-pi,4,8,5,0.002034
openMP-pi,4,8,5,0.01685
mpi-pi,4,8,5,0.02287415
mpi-pi++,4,8,5,0.0226037
cpp11-pi,4,8,6,0.002083
openMP-pi,4,8,6,0.002691
mpi-pi,4,8,6,0.02206843
