name,slurm_node,vectorization,randomness,run_id,nodes,cpus,tasks_per_node,width,height,rounds,size,threads,core_duration,core_duration_per_cell,top_bottom_duration,top_bottom_duration_per_cell,calculation_duration,calculation_duration_per_cell,communication_duration,total_duration,render_duration,images
lgca-10000,lxbk1029,avx512,fake,20036624,2,2,24,10000,210,1000,48,2,0.284665758,0.00285121953125,0.065968751,0.06871744895833334,0.350634509,0.0034785169543650792,0.126008493,0.476643002,0,0
lgca-100000,lxbk1029,avx512,fake,20036624,2,48,1,100000,50000,1000,2,48,146.553713256,0.014655957563902556,0.543637802,1.359094505,147.097351058,0.0147097351058,0.295859945,147.393211003,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,1,48,10000,106,1000,96,1,0.246537029,0.002469321203926282,0.058509913,0.030473913020833333,0.305046942,0.0029977097287735848,0.027853655,0.332900597,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,1,22.565456407,0.22569970401080217,0.248126747,12.40633735,22.813583154,0.22813583154,0.000285173,22.813868327,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,1,32.454201418,0.3246069355671134,0.241993951,12.09969755,32.696195369,0.32696195369,0.000269424,32.696464793,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,1,417.7891804,4.178727549509902,0.236972357,11.84861785,418.026152757,4.18026152757,0.000205513,418.02635827,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,2,11.434910034,0.114371974734947,0.23080908,11.540454,11.665719114,0.11665719114,0.000227943,11.665947057,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,2,16.787449907,0.16790808068613722,0.24474314,12.237157,17.032193047,0.17032193047,0.000256119,17.032449166,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,2,213.390220782,2.134329073634727,0.235939292,11.7969646,213.626160074,2.13626160074,0.000293531,213.626453605,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,4,6.421073473,0.06422357944588918,0.230460351,11.52301755,6.651533824,0.06651533824,0.000200407,6.651734231,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,4,8.36598887,0.08367662402480497,0.172248456,8.6124228,8.538237326,0.08538237326,0.000190609,8.538427935,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,4,109.158921413,1.091807575645129,0.215919519,10.79597595,109.374840932,1.09374840932,0.00032632,109.375167252,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,8,3.664698879,0.03665431965393079,0.215117261,10.75586305,3.87981614,0.0387981614,0.000196043,3.880012183,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,8,4.422424767,0.04423309428885777,0.209163037,10.45815185,4.6315878040000005,0.04631587804,0.000230538,4.631818342,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,8,57.324036778,0.5733550387877575,0.237328263,11.86641315,57.561365041,0.57561365041,0.000293573,57.561658614,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,16,2.821321453,0.02821885830166033,0.211252703,10.56263515,3.032574156,0.03032574156,0.000192529,3.032766685,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,16,2.9755937770000003,0.029761890148029612,0.210695009,10.53475045,3.186288786,0.03186288786,0.000232241,3.186521027,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,16,30.324379625,0.3033044571414283,0.23689193,11.8445965,30.561271555,0.30561271555,0.000230474,30.561502029,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,24,2.907775527,0.02908357198439688,0.183673907,9.18369535,3.091449434,0.03091449434,0.000188756,3.09163819,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,24,2.792810176,0.02793368849769954,0.210079768,10.5039884,3.002889944,0.03002889944,0.00023523,3.003125174,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,24,20.493965512,0.20498065125025006,0.238380298,11.9190149,20.732345809999998,0.2073234581,0.000150618,20.732496428,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,32,2.892818594,0.028933972734546908,0.20340459,10.1702295,3.096223184,0.03096223184,0.000205435,3.096428619,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,32,2.5450663540000003,0.025455754690938193,0.164956702,8.2478351,2.710023056,0.02710023056,0.000217716,2.710240772,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,32,15.577450265,0.15580566378275656,0.226820575,11.34102875,15.804270840000001,0.1580427084,0.000231337,15.804502177,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,40,2.692272103,0.026928106651330268,0.139536199,6.97680995,2.8318083019999998,0.02831808302,0.000223387,2.832031689,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,40,2.832962318,0.02833529023804761,0.136196962,6.8098481,2.96915928,0.0296915928,0.000251112,2.969410392,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,40,12.650115974,0.1265264650330066,0.159396346,7.9698173,12.80951232,0.1280951232,0.000228367,12.809740687,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,48,3.026688325,0.030272937837567515,0.138131121,6.90655605,3.164819446,0.03164819446,0.000284263,3.165103709,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,48,2.769995939,0.02770550049009802,0.117103153,5.85515765,2.887099092,0.02887099092,0.000382335,2.887481427,0,0
lgca-10000-real,lxbk1029,avx512,real,20036618,1,48,1,10000,10000,1000,1,48,10.948724801000001,0.109509149839968,0.142724269,7.13621345,11.09144907,0.1109144907,0.000421988,11.091871058,0,0
lgca-10000,lxbk1029,avx512,fake,20036618,1,48,1,10000,10000,1000,1,96,3.142814058,0.031434427465493096,0.153383004,7.6691502,3.296197062,0.03296197062,0.000956769,3.297153831,0,0
lgca-10000-avx2,lxbk1029,avx2,fake,20036618,1,48,1,10000,10000,1000,1,96,3.058021343,0.030586330696139228,0.140603669,7.03018345,3.198625012,0.03198625012,0.00078475,3.199409762,0,0
