implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
mpi-multi,sort4M.data,79,0,1,2,2,8,4194304,3676,1838,0.00539272,0.212412603,0.54103534,0.00142617,0.273331812,0.000030236,0.898338,0.062656,0.349029,1.060469263
mpi-multi,sort4M.data,79,1,1,2,2,8,4194304,3676,1838,0.00624197,0.221216385,0.50946389,0.001341865,0.265236002,0.000039699,0.652258,0.031058,0.339967,1.024497702
mpi-multi,sort4M.data,79,2,1,2,2,8,4194304,3676,1838,0.00665479,0.226266908,0.534385102,0.001405372,0.261864049,0.000037629,0.654689,0.072677,0.337618,1.066299279
mpi-multi,sort4M.data,79,3,1,2,2,8,4194304,3676,1838,0.005386706,0.231897185,0.523275689,0.001334004,0.270668879,0.000041869,0.66877,0.047233,0.343926,1.061115505
mpi-multi,sort1M.data,67,0,1,4,4,16,1048576,4276,1069,0.037643205,0.057597735,0.146117833,0.002287648,0.026836686,0.000024261,0.26969,0.000633,0.081054,0.252660294
mpi-multi,sort1M.data,67,1,1,4,4,16,1048576,4276,1069,0.045930777,0.058850974,0.143569401,0.015100033,0.026235712,0.000023621,0.178727,0.000403,0.076467,0.256554938
mpi-multi,sort1M.data,67,2,1,4,4,16,1048576,4276,1069,0.0384837,0.05820253,0.145697785,0.014085333,0.024296616,0.000026301,0.170443,0.000656,0.073983,0.245869674
mpi-multi,sort1M.data,67,3,1,4,4,16,1048576,4276,1069,0.041166805,0.052508075,0.141639495,0.008079486,0.026170434,0.000023481,0.166638,0.000299,0.0856,0.253213915
mpi-multi,sort64K.data,42,0,1,8,8,32,65536,8008,1001,0.001714772,0.030319675,0.007592844,0.001552609,0.001856169,0.000010381,0.052962,0.000183,0.004891,0.04277474
mpi-multi,sort64K.data,42,1,1,8,8,32,65536,8008,1001,0.001914649,0.033679284,0.009793396,0.001967121,0.001851007,0.0000107,0.040935,0.001438,0.005439,0.048160883
mpi-multi,sort64K.data,42,2,1,8,8,32,65536,8008,1001,0.001617207,0.031186452,0.006704168,0.001609397,0.001864083,0.000010001,0.037553,0.000154,0.005148,0.043098184
mpi-multi,sort64K.data,42,3,1,8,8,32,65536,8008,1001,0.001637839,0.03141544,0.007072772,0.001731763,0.001833543,0.00001077,0.038223,0.000154,0.005239,0.043813903
mpi-multi,sort16K.data,29,0,1,8,8,32,16384,8000,1000,0.000828774,0.030758323,0.003085378,0.001723008,0.001110576,0.000010501,0.041056,0.000202,0.004408,0.039700343
mpi-multi,sort16K.data,29,1,1,8,8,32,16384,8000,1000,0.001138397,0.02995764,0.003754576,0.00168394,0.000972961,0.00000874,0.033875,0.000262,0.004294,0.039023226
mpi-multi,sort16K.data,29,2,1,8,8,32,16384,8000,1000,0.001015772,0.030168129,0.004316778,0.001513484,0.000912848,0.000008911,0.034184,0.000624,0.003862,0.039318457
mpi-multi,sort16K.data,29,3,1,8,8,32,16384,8000,1000,0.001065214,0.029885007,0.002692701,0.001917528,0.000979966,0.000007541,0.033347,0.00019,0.004344,0.037994253
mpi-multi,sort256K.data,55,0,1,8,8,32,262144,8056,1007,0.005299128,0.032488658,0.029990898,0.001885477,0.009130542,0.000031432,0.061549,0.000333,0.014177,0.068450031
mpi-multi,sort256K.data,55,1,1,8,8,32,262144,8056,1007,0.006213454,0.032786772,0.028287258,0.001763262,0.009084936,0.000027751,0.052514,0.000225,0.014186,0.069181692
mpi-multi,sort256K.data,55,2,1,8,8,32,262144,8056,1007,0.005416412,0.03249783,0.02934711,0.00170022,0.009573749,0.000029281,0.050929,0.000222,0.014601,0.069099168
mpi-multi,sort256K.data,55,3,1,8,8,32,262144,8056,1007,0.005381331,0.032674367,0.028632551,0.001611425,0.009025065,0.000038622,0.051346,0.00063,0.01394,0.068185321
mpi-multi,sort4K.data,16,0,1,8,8,32,4096,8000,1000,0.000320841,0.029366847,0.001949534,0.001903555,0.000254046,0.00000738,0.369462,0.000315,0.003613,0.036542122
mpi-multi,sort4K.data,16,1,1,8,8,32,4096,8000,1000,0.000326071,0.029195792,0.001986254,0.001935632,0.000263912,0.00000803,0.031433,0.00033,0.003514,0.035430635
mpi-multi,sort4K.data,16,2,1,8,8,32,4096,8000,1000,0.00031228,0.02974564,0.00216008,0.005231006,0.000326637,0.0000082,0.032305,0.000332,0.00691,0.039845679
mpi-multi,sort4K.data,16,3,1,8,8,32,4096,8000,1000,0.0003298,0.029333817,0.00183054,0.002153622,0.000249568,0.000007301,0.032052,0.000313,0.003686,0.036211331
mpi-multi,sort1K.data,3,0,1,8,8,32,1024,8000,1000,0.000124525,0.028632532,0.002674318,0.00172401,0.000289294,0.00000701,0.03274,0.000292,0.002796,0.034774363
mpi-multi,sort1K.data,3,1,1,8,8,32,1024,8000,1000,0.000144666,0.028313309,0.003516234,0.001750217,0.000279934,0.00000653,0.030397,0.00099,0.003082,0.035728393
mpi-multi,sort1K.data,3,2,1,8,8,32,1024,8000,1000,0.000152366,0.028925014,0.002232082,0.001729172,0.000263799,0.000006471,0.031001,0.000369,0.003025,0.035047544
mpi-multi,sort1K.data,3,3,1,8,8,32,1024,8000,1000,0.000129936,0.02811298,0.001868796,0.001735641,0.000273473,0.00000764,0.030715,0.000312,0.003063,0.034607337
mpi-multi,sort1M.data,68,0,1,8,8,32,1048576,8232,1029,0.041470279,0.055464251,0.127786794,0.004804241,0.016494071,0.000038561,0.215295,0.000269,0.044338,0.208472499
mpi-multi,sort1M.data,68,1,1,8,8,32,1048576,8232,1029,0.04416455,0.060241215,0.123204313,0.00344683,0.023539015,0.000030131,0.167039,0.000548,0.072729,0.24223
mpi-multi,sort1M.data,68,2,1,8,8,32,1048576,8232,1029,0.042702986,0.056884618,0.11785685,0.002145788,0.027932724,0.000030211,0.159342,0.000368,0.083447,0.244735049
mpi-multi,sort1M.data,68,3,1,8,8,32,1048576,8232,1029,0.041750826,0.057763734,0.126582327,0.002302174,0.023241983,0.000034752,0.162137,0.000906,0.071057,0.237307474
mpi-multi,sort4M.data,80,0,1,4,4,16,4194304,5116,1279,0.063311817,0.084505508,0.259780905,0.031690042,0.100143597,0.00001768,0.549658,0.024704,0.171406,0.528398677
mpi-multi,sort4M.data,80,1,1,4,4,16,4194304,5116,1279,0.08321199,0.085898787,0.258760083,0.055115252,0.086340075,0.00001663,0.339136,0.027745,0.170184,0.541323588
mpi-multi,sort4M.data,80,2,1,4,4,16,4194304,5116,1279,0.064365644,0.08789906,0.255080495,0.03470461,0.081459071,0.000017231,0.329028,0.026858,0.1556,0.515692654
mpi-multi,sort4M.data,80,3,1,4,4,16,4194304,5116,1279,0.061852707,0.087780834,0.255217001,0.032948339,0.107729242,0.00001932,0.325864,0.027002,0.170082,0.526541372
mpi-multi,sort64K.data,43,0,1,16,16,64,65536,16000,1000,0.001649409,0.030813884,0.007341498,0.001620997,0.002687902,0.000023951,0.055539,0.000189,0.006312,0.044200356
mpi-multi,sort64K.data,43,1,1,16,16,64,65536,16000,1000,0.001753463,0.030360585,0.01000254,0.001127985,0.00488533,0.000027392,0.038008,0.000238,0.008084,0.047555677
mpi-multi,sort64K.data,43,2,1,16,16,64,65536,16000,1000,0.00164205,0.031737021,0.007304036,0.001563144,0.002633152,0.000023091,0.0379,0.000168,0.005893,0.044675625
mpi-multi,sort64K.data,43,3,1,16,16,64,65536,16000,1000,0.001627538,0.030455468,0.013018768,0.001057018,0.004761078,0.000027601,0.036831,0.000303,0.00786,0.048557338
mpi-multi,sort16K.data,30,0,1,16,16,64,16384,16000,1000,0.000799553,0.029603636,0.003350388,0.001466063,0.001148703,0.000009491,0.033949,0.000164,0.003795,0.037418929
mpi-multi,sort16K.data,30,1,1,16,16,64,16384,16000,1000,0.00097551,0.029689179,0.00340722,0.001665921,0.001129805,0.000020621,0.033587,0.000172,0.004001,0.038607728
mpi-multi,sort16K.data,30,2,1,16,16,64,16384,16000,1000,0.000893297,0.029575514,0.005495888,0.001605663,0.001108698,0.00001418,0.032622,0.000506,0.003944,0.038503074
mpi-multi,sort16K.data,30,3,1,16,16,64,16384,16000,1000,0.001068214,0.030186859,0.004056797,0.00169948,0.001093028,0.000014411,0.034071,0.000209,0.004133,0.039470323
radix-sort,sort16M.data,91,0,1,1,1,1,16777216,3355,3355,0.570001441,0,0,1.314693351,0,0,0,1.764830162,0,3.65671749
sort-unstable,sort16M.data,91,0,1,1,1,1,16777216,3355,3355,2.771004776,0,0,1.196440576,0,0,0,2.3525338270000002,0,6.371314091
radix-sort,sort16M.data,91,1,1,1,1,1,16777216,3355,3355,1.954161563,0,0,1.126375146,0,0,0,1.9334095040000001,0,5.062675326
sort-unstable,sort16M.data,91,1,1,1,1,1,16777216,3355,3355,1.799422752,0,0,1.340796793,0,0,0,2.331075584,0,5.515194627
radix-sort,sort16M.data,91,2,1,1,1,1,16777216,3355,3355,1.844304763,0,0,1.21882106,0,0,0,1.894557429,0,5.001893751
sort-unstable,sort16M.data,91,2,1,1,1,1,16777216,3355,3355,1.822406837,0,0,1.358716044,0,0,0,2.313851806,0,5.533608105
radix-sort,sort16M.data,91,3,1,1,1,1,16777216,3355,3355,1.849097567,0,0,1.222241486,0,0,0,1.895561174,0,5.008337151
sort-unstable,sort16M.data,91,3,1,1,1,1,16777216,3355,3355,1.911416414,0,0,3.3927060620000002,0,0,0,2.39455612,0,7.739512379
mpi-multi,sort4K.data,17,0,1,16,16,64,4096,16000,1000,0.000345503,0.030419082,0.005196003,0.00193418,0.000638006,0.00001264,0.03711,0.00027,0.003648,0.038931189
mpi-multi,sort4K.data,17,1,1,16,16,64,4096,16000,1000,0.000426296,0.030546077,0.003996539,0.001955334,0.000642753,0.000012091,0.034278,0.000298,0.003768,0.039423997
